Time_us,x,y,yaw,V_x,V_y,Gyro_z
23699924,-22.618863,-1.353579,2.919591,-0.7821954,0.1943385,-0.6447313
23799986,-22.697003,-1.327834,2.856352,-0.7595203,0.2738239,-0.6342918
23899912,-22.772773,-1.295545,2.794444,-0.7706925,0.3403804,-0.6184438
23999981,-22.848693,-1.255466,2.727648,-0.7662625,0.427864,-0.6565094
24099985,-22.921353,-1.208447,2.660607,-0.7306352,0.5077522,-0.6799664
24199922,-22.991373,-1.149734,2.593146,-0.6860868,0.5511451,-0.6730475
24299918,-23.059183,-1.085405,2.526859,-0.6739224,0.6177671,-0.6575527
24400005,-23.120993,-1.012302,2.45628,-0.648276,0.6817781,-0.6947534
24499965,-23.176663,-0.936048,2.396729,-0.6208252,0.7890032,-0.6427646
24599918,-23.229113,-0.858026,2.328812,-0.5173513,0.7896903,-0.6410354
24699981,-23.276453,-0.774607,2.259164,-0.4938209,0.8738682,-0.7068872
24799922,-23.322693,-0.68541,2.185905,-0.4156856,0.9404615,-0.7115487
24899924,-23.362403,-0.590014,2.116112,-0.3514314,0.9720525,-0.6947228
25000020,-23.393303,-0.494646,2.047485,-0.2838159,1.017568,-0.679855
25099972,-23.416323,-0.396737,1.982029,-0.2418142,1.04971,-0.6619707
25199922,-23.434493,-0.297555,1.922544,-0.1562425,1.057879,-0.6026464
25299981,-23.447813,-0.197642,1.866653,-0.1099369,1.088574,-0.5565856
25399920,-23.454723,-0.0982210000000001,1.812625,-0.03814789,1.108884,-0.5317445
25499959,-23.455493,0.000603999999999827,1.764905,0.01131973,1.117789,-0.4821602
25600011,-23.451293,0.0979139999999998,1.719898,0.08464093,1.148778,-0.4383902
25699911,-23.443893,0.19161,1.67669,0.1050324,1.125153,-0.4307041
25799921,-23.436023,0.281651,1.637773,0.1391637,1.118268,-0.3926648
25899974,-23.426993,0.371539,1.603138,0.1951864,1.105348,-0.3440927
25999981,-23.415433,0.45667,1.56986,0.1924943,1.098927,-0.3186042
26099940,-23.401373,0.541785,1.54174,0.2371461,1.086068,-0.2927661
26199995,-23.384723,0.623693,1.514576,0.2884043,1.058139,-0.2649203
26299934,-23.364773,0.7072692,1.490213,0.3040461,1.059803,-0.2438082
26399931,-23.348203,0.7858436,1.469342,0.3341163,1.04378,-0.2071311
26500012,-23.331673,0.8651914,1.44861,0.3352058,1.05696,-0.2020136
26599949,-23.315243,0.9423246,1.430728,0.3761604,1.030698,-0.1834809
26699929,-23.297193,1.0193265,1.415391,0.3671273,1.037016,-0.1605167
26800016,-23.282853,1.0902285,1.402284,0.3809342,1.015435,-0.1184492
26899957,-23.266403,1.1593499,1.388071,0.3787721,1.000381,-0.1375603
27000004,-23.250163,1.2237409,1.371295,0.3827195,1.003615,-0.1697161
27100001,-23.229193,1.2881979,1.359067,0.42309,0.9700938,-0.1282254
27199935,-23.209143,1.347775,1.354312,0.3893044,0.9452206,-0.05391695
27299949,-23.189563,1.4077399,1.34646,0.4100944,0.9258999,-0.07200758
27400007,-23.173353,1.4688334,1.339629,0.387034,0.926517,-0.06600135
27499987,-23.155723,1.5321014,1.334109,0.4071008,0.9078162,-0.05163784
27599942,-23.138363,1.59326828,1.327146,0.4042736,0.9216003,-0.06250099
27700002,-23.119053,1.65853524,1.322014,0.4080255,0.9282584,-0.05419287
27799948,-23.102953,1.71991909,1.317289,0.4257923,0.9033697,-0.04467694
27899941,-23.085703,1.7828776,1.313714,0.4016475,0.9300354,-0.03389489
28000029,-23.071463,1.8432091,1.314174,0.4389746,0.9292994,-0.003241124
28099957,-23.056833,1.9046962,1.313023,0.4142706,0.9044058,-0.007033793
28199938,-23.044173,1.9665004,1.311932,0.396864,0.8869559,-0.01064093
28300011,-23.037273,2.0275688,1.311076,0.3572918,0.9100702,0.00405571
28399936,-23.027253,2.0901359,1.311385,0.3738179,0.8919198,0.01489162
28499988,-23.019303,2.1536804,1.307195,0.3599898,0.9316468,-0.02901045
28600007,-23.008663,2.2209624,1.302185,0.402243,0.9658669,-0.03530256
28699937,-22.995263,2.2861287,1.305678,0.3605913,0.9001738,0.02060352
28799944,-22.982653,2.3481903,1.306847,0.3234667,0.8917668,0.02889785
28900001,-22.974883,2.4079605,1.307047,0.3224827,0.9018952,0.01331392
29000008,-22.965203,2.4684886,1.307006,0.3455226,0.889039,0.01116695
29099936,-22.956823,2.5270574,1.309555,0.3297153,0.9045719,0.03729083
29200022,-22.947513,2.5889032,1.31109,0.3194199,0.9073033,0.02988463
29299941,-22.939533,2.6477135,1.311745,0.2874732,0.8933501,0.01591412
29399939,-22.931863,2.707801,1.313554,0.2958842,0.8880097,0.03096122
29500029,-22.923173,2.772409,1.318367,0.3083575,0.9077563,0.04578058
29599963,-22.909603,2.839378,1.319141,0.2904612,0.8867592,0.01873923
29699954,-22.893343,2.904397,1.322713,0.3176512,0.882386,0.03788529
29800018,-22.876423,2.972182,1.32191,0.2921356,0.8926078,-0.007758425
29899989,-22.856613,3.043825,1.323219,0.2937795,0.9440848,0.01186026
30000012,-22.834713,3.120435,1.32575,0.2922924,0.9373645,0.03627166
30100019,-22.812643,3.202331,1.328164,0.2702157,0.9450752,0.03964318
30199948,-22.794683,3.283229,1.330672,0.266793,0.949454,0.03137551
30299950,-22.776743,3.366116,1.335049,0.2953013,0.9628944,0.04605189
30400023,-22.758513,3.44486,1.337239,0.2710014,0.9759231,0.03087502
30500005,-22.738873,3.522677,1.338117,0.2781158,0.9408073,0.02185118
30599968,-22.718533,3.599458,1.33942,0.2725177,0.9312263,0.02132972
30700010,-22.699813,3.675851,1.338846,0.2800513,0.9122054,0.00874461
30799962,-22.683673,3.751175,1.340636,0.2465633,0.9228348,0.02423074
30900002,-22.668713,3.828709,1.342311,0.2518036,0.9136316,0.02161337
31000039,-22.654253,3.908393,1.343174,0.2484158,0.9765414,0.01534786
31099919,-22.640043,3.99198,1.34394,0.2575887,0.980446,-0.001284064
31199924,-22.622883,4.074305,1.347642,0.2150819,0.9764773,0.04315941
31299932,-22.603513,4.158306,1.351383,0.2208797,0.9646201,0.03863863
31399939,-22.584863,4.240642,1.354356,0.2246935,0.9627234,0.02821465
31499980,-22.567853,4.319064,1.356495,0.2291385,0.9322152,0.03173893
31599973,-22.551903,4.396349,1.360991,0.1977662,0.9813991,0.03967334
31699919,-22.535133,4.473493,1.365094,0.2071407,0.9870728,0.04537097
31799928,-22.519273,4.552216,1.368953,0.1936116,0.9736071,0.04634403
31899922,-22.504333,4.628881,1.373522,0.1924744,0.9443905,0.05544559
32000003,-22.491043,4.708659,1.379894,0.1993789,0.9413295,0.06333627
32099944,-22.478793,4.793434,1.382334,0.1719271,0.9743723,0.04076812
32199940,-22.466553,4.880503,1.384656,0.1410273,0.9882106,0.02236392
32299920,-22.455503,4.971004,1.388758,0.1727903,1.026002,0.04815004
32399922,-22.442793,5.062809,1.395816,0.160787,1.011081,0.073204
32499978,-22.433303,5.153556,1.398523,0.1391658,0.9952753,0.04420646
32599924,-22.427843,5.241877,1.402963,0.1305995,0.9792224,0.0415138
32699915,-22.423853,5.330271,1.411507,0.1392823,0.9850588,0.08357644
32799956,-22.420843,5.418167,1.414337,0.08331404,0.9696103,0.05472544
32899922,-22.415543,5.511476,1.421137,0.0920105,1.015357,0.06514648
32999991,-22.410833,5.60711,1.426977,0.1215133,1.021269,0.07302501
33099920,-22.408133,5.703222,1.430892,0.06379497,1.013665,0.05006454
33199930,-22.407323,5.794638,1.437746,0.06246949,0.9982267,0.07823459
33299932,-22.408053,5.88415,1.44487,0.04815182,0.9662827,0.0817754
33399930,-22.407483,5.974985,1.450908,0.02886428,0.9634247,0.06952585
33499978,-22.406493,6.068955,1.456008,0.04224338,0.9975272,0.05726261
33599941,-22.409133,6.170879,1.461133,0.02725064,1.026247,0.05480076
33699916,-22.414903,6.277757,1.466154,0.0237454,1.046752,0.06046632
33799931,-22.420133,6.386505,1.470591,0.0150877,1.02234,0.05409151
33899918,-22.424913,6.496903,1.479383,-0.007849833,1.04132,0.07991368
34000003,-22.431833,6.604975,1.480981,-0.02131706,1.043148,0.03867736
34099926,-22.436493,6.712225,1.484053,-0.04052144,1.026522,0.03426025
34199929,-22.440783,6.813794,1.483844,-0.03133779,1.023937,0.00736543
34299926,-22.442793,6.913725,1.485421,-0.04154141,1.004466,0.01410689
34399925,-22.444313,7.007244,1.483925,-0.04093902,0.9860055,-0.003138009
34499976,-22.444463,7.099081,1.48452,-0.03971368,0.991554,0.00740254
34599937,-22.450953,7.191351,1.48418,-0.04083726,0.9846237,-0.0002858916
34699920,-22.460273,7.286404,1.483312,-0.0609368,1.00502,-0.008958058
34799928,-22.466283,7.386157,1.484049,-0.05028136,1.058197,0.01592703
34899917,-22.470243,7.487509,1.481133,-0.03184288,1.049285,-0.02589145
34999993,-22.475003,7.587013,1.477836,-0.0443113,1.018705,-0.03694821
35099921,-22.479093,7.68474,1.47243,-0.03687498,1.024852,-0.04859709
35199949,-22.479223,7.788137,1.467641,-0.05429604,1.030462,-0.04895496
35299924,-22.479033,7.894467,1.461271,-0.04548226,1.008922,-0.06125921
35399924,-22.481143,8.000441,1.458417,-0.04714157,0.9916898,-0.03568232
